#"Step","Potential Energy (kJ/mole)","Temperature (K)"
139000,-1302700.9895862376,468.46383135264125
139500,-1302719.7701101,450.16092078878637
140000,-1302721.219898089,411.0775048585251
140500,-1302696.5531669513,341.4540863239688
141000,-1302700.92498899,496.84968921414196
141500,-1302721.8545667813,417.16912129957444
142000,-1302685.9866748597,367.0137796667096
142500,-1302690.1456514958,428.4720606279219
143000,-1302683.5692193855,505.7550091552668
143500,-1302649.4783049284,612.5424912168718
144000,-1302664.5287777253,674.7592724230249
144500,-1302660.7100523438,550.6118902790832
145000,-1302681.5674416434,512.5546234716801
145500,-1302663.4909509504,411.81829932699685
146000,-1302661.6412945862,463.7692886815923
146500,-1302691.8920560814,384.5626429206019
147000,-1302652.064705322,458.53481604130275
147500,-1302686.307059378,536.3540152810037
148000,-1302678.151012709,341.77972414870493
148500,-1302664.5754210898,278.2916991126866
149000,-1302707.4773536443,340.613460846203
149500,-1302695.410028651,471.60368177558416
150000,-1302680.4410504263,387.96987151171083
150500,-1302707.2748519639,462.9376901243028
151000,-1302724.1712827892,441.4557623209085
151500,-1302711.2503648666,353.72972933312343
152000,-1302701.338407847,379.9270163597408
152500,-1302674.2283742495,307.90871833642353
153000,-1302649.9101871313,415.68769990688577
153500,-1302660.9938169073,365.4213655970615
154000,-1302662.6327709116,446.2216804701477
154500,-1302696.7064705489,526.9262951527726
155000,-1302678.3396090807,483.4018116979815
155500,-1302680.3228304451,461.3125911807106
156000,-1302703.5385868135,404.34679881833284
156500,-1302695.6293567216,369.96478517259806
157000,-1302694.769594874,368.26552211180314
157500,-1302678.9416360622,251.6791092382705
158000,-1302693.7319840062,278.1289290943872
158500,-1302703.472421749,329.18081250696184
159000,-1302696.6717499204,265.76932157737775
159500,-1302697.0503176912,332.26686325454455
160000,-1302696.618513604,358.68293395630945
160500,-1302683.3694623527,269.78564711963503
161000,-1302674.342468069,410.51877844631485
161500,-1302718.6867092832,535.1998213983277
162000,-1302694.787659097,444.45898930662025
162500,-1302688.3871712598,374.48693451780974
163000,-1302693.2656845048,345.1713805642999
163500,-1302711.6247186067,545.1986787805488
164000,-1302649.8933934614,338.8814608073514
164500,-1302692.0380114585,396.03209517158814
165000,-1302701.6660469368,440.25168730595465
165500,-1302704.8071313247,408.66010886080306
166000,-1302694.9639695222,444.08473466317
166500,-1302695.4633025813,372.344200937894
167000,-1302711.5631796573,394.0543039880562
167500,-1302686.6025107703,328.87097694595053
168000,-1302682.179990909,353.7506829314134
168500,-1302702.7919045726,298.86979777341475
169000,-1302703.7146692793,258.98056736227164
169500,-1302718.7535403727,310.4771224293438
170000,-1302714.1032737906,316.2873609626255
170500,-1302701.347719142,345.6506587793454
171000,-1302717.7084749916,363.20835585761927
171500,-1302700.1578664233,406.03664926652374
172000,-1302704.0047874432,478.97116458751657
172500,-1302705.637867293,395.28768095335107
173000,-1302699.1735062047,407.9935867324384
173500,-1302692.8784460768,408.6007052433415
174000,-1302676.5195521992,428.4853769919917
174500,-1302668.9234419577,460.1953645770642
175000,-1302687.2017528047,503.1237862926553
175500,-1302715.8736059892,577.2556810156478
176000,-1302714.7172617828,516.237093072893
176500,-1302697.6787838454,466.61067327028076
177000,-1302702.9507687364,356.4068937437273
177500,-1302692.3522969747,484.940558181617
178000,-1302643.9297375437,446.56621673810605
178500,-1302640.8986755132,419.09236488509146
179000,-1302694.6374409627,367.0560828689586
179500,-1302714.481254088,435.32528522915527
180000,-1302680.4210623032,348.9504272701057
180500,-1302710.9289804404,429.6765808292956
181000,-1302702.4719968096,403.9818221099318
181500,-1302699.7234612952,322.26432661440117
182000,-1302710.6929442645,296.23937067913846
182500,-1302666.9739949175,230.69884654923882
183000,-1302685.7370990133,372.89605710489445
183500,-1302672.8335998766,337.71656146315496
184000,-1302671.5653433707,408.9272764893315
184500,-1302680.1520042478,349.2690679192368
185000,-1302704.6452597054,458.781638985253
185500,-1302678.4098638964,357.7364846045339
186000,-1302643.6477638371,382.5912257826592
186500,-1302674.6676211352,521.487285974193
187000,-1302673.120193418,360.6201498074226
187500,-1302686.8940889842,443.1677578561696
188000,-1302710.5541378176,400.69519058406513
188500,-1302681.668943128,323.46603902807664
189000,-1302719.6403885253,346.8503598908708
189500,-1302708.3945606651,308.288712403857
190000,-1302713.8337429734,481.8404089766932
190500,-1302675.1174048805,509.7875192477922
191000,-1302653.111922101,453.0035916125728
191500,-1302701.8644356434,436.37942807976486
192000,-1302681.8169230744,445.1029997582466
192500,-1302686.9212407772,424.3095196693779
193000,-1302714.7310372184,445.55011017354406
193500,-1302701.270092404,291.9023929743892
194000,-1302678.9240581174,378.6358841559929
194500,-1302710.597181338,514.2754988570881
195000,-1302669.0152490055,301.9956288277315
195500,-1302693.4943943438,322.6038888612749
196000,-1302696.6197306167,484.1731902833986
196500,-1302647.653374269,356.5523356469451
197000,-1302660.162087735,394.6514151645258
197500,-1302678.7492775256,446.2517923533895
198000,-1302691.8090276208,464.632107371924
198500,-1302717.566362231,330.43083024113736
199000,-1302706.6318968183,390.41589201627005
199500,-1302683.242069146,423.0688828269619
200000,-1302697.5361182783,415.1275312347081
200500,-1302680.9535243378,375.16353699194843
201000,-1302685.3900714696,374.7085027749568
201500,-1302702.0030073775,423.8875308832428
202000,-1302714.2955272584,440.58854077816034
202500,-1302714.0550367888,356.47405618234484
203000,-1302707.7351973155,450.6333644559899
203500,-1302675.4093116992,353.1130070053395
204000,-1302688.761315588,389.1476858895037
204500,-1302682.5322474614,320.19808033811057
205000,-1302698.3864152003,448.7740478557293
205500,-1302710.1278969352,428.93658540171333
206000,-1302664.2300100848,353.8886751201497
206500,-1302689.3427549643,414.31354890973927
207000,-1302681.6742407181,610.4208471058246
207500,-1302661.9639137625,338.80372424078126
208000,-1302690.1029386807,416.19930778103713
208500,-1302705.9645553504,367.34949499470486
209000,-1302717.2552804945,438.37272734404684
209500,-1302710.5210548437,412.19256957888393
210000,-1302695.362016781,414.481233147941
210500,-1302715.4714819558,514.8697070628092
211000,-1302674.6837992172,440.8884530950726
211500,-1302709.155147739,336.27901094864967
212000,-1302695.2609704963,279.7526898966086
212500,-1302700.639730398,360.55213530638326
213000,-1302681.981410311,377.2998744879192
213500,-1302678.2888649348,339.0640966386459
214000,-1302696.75794928,356.3992352678279
214500,-1302705.840535321,422.25202983977454
215000,-1302691.6977864993,529.5874241570498
215500,-1302687.3090821432,471.50321838578
216000,-1302670.222559154,500.10329647611394
216500,-1302665.4580653089,338.6655856190208
217000,-1302679.422595441,419.51411475636394
217500,-1302692.1511592728,442.1317937530522
218000,-1302684.6554910124,418.21782718133045
218500,-1302656.1282210383,307.6834872005626
219000,-1302693.1792432894,463.8263055871386
219500,-1302699.4789842542,437.3534854677637
220000,-1302698.6294666291,373.97510324540826
220500,-1302677.7664864599,374.99922054841875
221000,-1302707.5211855092,350.50270435461016
221500,-1302712.8727338447,389.12182722909387
222000,-1302697.2245227655,494.7671675738439
222500,-1302645.9241520045,301.567593404812
223000,-1302694.6472892575,462.5188792445849
223500,-1302692.0913364957,458.79542521460303
224000,-1302718.7052491955,371.36470199375617
224500,-1302677.4616063205,308.4499217124045
225000,-1302651.4872164,371.65442335123635
225500,-1302688.590539265,392.78022195665324
226000,-1302675.4687284383,429.2094047294811
226500,-1302718.0837683843,498.7470648297114
227000,-1302655.3178536918,473.5074095873259
227500,-1302637.6687062571,413.2505326861589
228000,-1302680.8705491093,465.8423186545397
228500,-1302674.8182719517,371.150765533886
229000,-1302686.6790837625,479.96008839951446
229500,-1302667.2715998648,453.6680964843882
230000,-1302678.6352907617,446.1066706081416
230500,-1302674.1354868205,426.9698707079249
231000,-1302656.371443439,421.0250547126892
231500,-1302662.0639612898,483.78731220082796
232000,-1302671.3835444555,367.6551086243235
232500,-1302699.0108368744,372.29104526205316
233000,-1302685.3115177725,376.71250855318374
233500,-1302703.7382414571,294.4437739220267
234000,-1302714.0249243379,295.52033541156374
234500,-1302710.3483863305,356.7203283081152
235000,-1302677.9773550492,327.5050667154864
235500,-1302694.0694182597,373.51879760499804
236000,-1302697.1320193086,370.8930083077385
236500,-1302672.6315287272,336.63652286572045
237000,-1302696.251875554,261.25539861059997
237500,-1302713.6855418866,372.96121226513384
238000,-1302696.3646534127,347.074797559618
238500,-1302713.7359901974,314.2221489154008
239000,-1302690.0435071643,304.39878376443374
239500,-1302709.9250352003,358.2649404286213
240000,-1302707.9702995685,366.1303077720891
240500,-1302696.6968216938,306.4002685098857
241000,-1302706.47658461,336.51235910875494
241500,-1302694.2225340889,412.0184872187499
242000,-1302685.1826939397,329.7308323209623
242500,-1302732.8991594068,328.065105602942
243000,-1302700.509553174,242.50675268974948
243500,-1302700.5557868755,374.4711429029674
244000,-1302669.1249389993,330.93404576315896
244500,-1302703.8531880316,325.8424033961358
245000,-1302708.212657992,329.2474855540953
245500,-1302699.4027922133,459.4079205936661
246000,-1302714.6176873206,506.38819694611135
246500,-1302698.2831907365,373.66121827061306
247000,-1302703.7702510331,308.7061216875665
247500,-1302709.9051741485,378.53852132892314
248000,-1302705.5271499674,387.44416163696263
248500,-1302693.483498722,479.3851865690648
249000,-1302688.9211479197,411.2474877031629
249500,-1302685.2926019237,424.5221423765081
250000,-1302658.6151652008,285.88019755086026
250500,-1302687.0973354646,509.54689689492903
251000,-1302697.7934667477,327.3868350420852
251500,-1302702.6631601006,296.01072130941793
252000,-1302728.4816298478,476.71587587551466
252500,-1302711.048153264,366.7490399331033
253000,-1302695.5955077372,258.06796018280664
253500,-1302686.8933903538,319.99682010339876
254000,-1302669.358421142,324.8459878912029
254500,-1302695.0214855387,335.3700235170029
255000,-1302698.047985961,330.37189391997515
255500,-1302699.435382955,468.38913829542435
256000,-1302704.2213972535,493.8605555921427
256500,-1302659.0269641539,406.40737883681965
257000,-1302704.679843991,307.32166087669253
257500,-1302708.331996781,302.5919027106404
258000,-1302697.9028126395,339.2326983030364
258500,-1302670.1302558752,302.98038155383597
259000,-1302666.5584406077,413.8717782475548
259500,-1302667.370883911,392.6499211768583
260000,-1302680.6596890532,348.7025152631525
260500,-1302693.674010301,491.8431314963654
261000,-1302715.725111657,432.0955854281465
261500,-1302662.5236179892,483.94989068982176
262000,-1302684.6300865235,517.2116172921502
262500,-1302687.9037713173,434.36113839484653
263000,-1302673.7191930546,372.123657459095
263500,-1302685.2388468601,469.2335966308866
264000,-1302681.6383889162,402.5785455763407
264500,-1302709.1836575356,320.3309443818176
265000,-1302688.3050423556,337.0812934838372
265500,-1302684.472090269,591.6932790989571
266000,-1302684.2333926992,386.71671904013965
266500,-1302678.138748125,392.4297101369627
267000,-1302672.8309439733,395.4842763465732
267500,-1302663.9357799548,558.2328055840144
268000,-1302640.8587534477,424.3083566219308
268500,-1302678.66642191,507.7793093351395
269000,-1302652.9156764215,473.47648855625204
269500,-1302657.200492961,464.67478272140596
270000,-1302668.562314243,464.60543321870347
270500,-1302675.7127515308,454.26646970613984
271000,-1302684.3507292408,356.12624892569545
271500,-1302673.8703279332,338.69877281752207
