Step Range,Steps,Time (seconds),Time per Step (seconds)
219000-219500,500,22.4451,0.044890
219500-220000,500,20.3783,0.040757
220000-220500,500,24.7954,0.049591
220500-221000,500,23.4326,0.046865
221000-221500,500,23.9366,0.047873
221500-222000,500,24.3998,0.048800
222000-222500,500,25.2454,0.050491
222500-223000,500,20.9108,0.041822
223000-223500,500,20.5026,0.041005
223500-224000,500,21.2853,0.042571
224000-224500,500,25.5357,0.051071
224500-225000,500,22.0965,0.044193
225000-225500,500,24.1048,0.048210
225500-226000,500,20.7470,0.041494
226000-226500,500,20.0999,0.040200
226500-227000,500,28.5521,0.057104
227000-227500,500,26.2996,0.052599
227500-228000,500,24.7188,0.049438
228000-228500,500,25.2541,0.050508
228500-229000,500,23.2236,0.046447
229000-229500,500,25.5217,0.051043
229500-230000,500,21.9348,0.043870
230000-230500,500,23.2759,0.046552
230500-231000,500,22.4650,0.044930
231000-231500,500,28.7430,0.057486
231500-232000,500,25.7814,0.051563
232000-232500,500,20.0886,0.040177
232500-233000,500,19.5929,0.039186
233000-233500,500,20.1136,0.040227
233500-234000,500,21.0406,0.042081
234000-234500,500,20.7916,0.041583
234500-235000,500,22.9757,0.045951
235000-235500,500,21.4669,0.042934
235500-236000,500,41.2408,0.082482
236000-236500,500,29.5424,0.059085
236500-237000,500,30.4228,0.060846
237000-237500,500,21.4322,0.042864
237500-238000,500,23.2223,0.046445
238000-238500,500,28.8506,0.057701
238500-239000,500,18.7842,0.037568
239000-239500,500,21.1263,0.042253
239500-240000,500,19.9229,0.039846
240000-240500,500,19.1002,0.038200
240500-241000,500,22.7146,0.045429
241000-241500,500,23.3992,0.046798
241500-242000,500,22.2723,0.044545
242000-242500,500,22.3479,0.044696
242500-243000,500,21.3531,0.042706
243000-243500,500,19.6520,0.039304
243500-244000,500,21.5870,0.043174
244000-244500,500,20.9360,0.041872
244500-245000,500,23.6982,0.047396
245000-245500,500,22.1889,0.044378
245500-246000,500,25.6716,0.051343
246000-246500,500,23.2253,0.046451
246500-247000,500,24.5730,0.049146
247000-247500,500,25.0540,0.050108
247500-248000,500,23.3330,0.046666
248000-248500,500,24.8236,0.049647
248500-249000,500,24.5899,0.049180
249000-249500,500,22.7629,0.045526
249500-250000,500,21.2318,0.042464
250000-250500,500,24.1600,0.048320
250500-251000,500,22.9986,0.045997
251000-251500,500,25.0960,0.050192
251500-252000,500,19.3006,0.038601
252000-252500,500,17.9153,0.035831
252500-253000,500,23.1002,0.046200
253000-253500,500,20.7665,0.041533
253500-254000,500,20.5930,0.041186
254000-254500,500,23.4596,0.046919
254500-255000,500,28.8454,0.057691
255000-255500,500,30.9159,0.061832
255500-256000,500,31.5608,0.063122
256000-256500,500,20.0429,0.040086
256500-257000,500,20.4983,0.040997
257000-257500,500,25.1368,0.050274
257500-258000,500,21.3512,0.042702
258000-258500,500,18.6012,0.037202
258500-259000,500,19.2752,0.038550
259000-259500,500,20.7747,0.041549
259500-260000,500,19.9382,0.039876
