#"Step","Potential Energy (kJ/mole)","Temperature (K)"
105000,-1302648.516710975,445.30152826345324
105500,-1302651.0616014388,571.1428473806228
106000,-1302654.9664068131,446.0468421118775
106500,-1302626.105196659,422.3005543675991
107000,-1302665.7506961892,391.6660272487556
107500,-1302626.9496263738,393.96802683028807
108000,-1302641.0221299615,375.986806227022
108500,-1302632.4972645082,340.68268854059187
109000,-1302669.138897314,311.8347764123959
109500,-1302664.3194192117,296.4224905643759
110000,-1302673.9173960811,323.04786950299814
110500,-1302625.9516609686,262.30296455725994
111000,-1302669.0988676024,468.22741775028487
111500,-1302639.3282115266,497.7784812440988
112000,-1302672.274843608,324.8866362517299
112500,-1302668.6943659175,323.9915681824957
113000,-1302672.9944658491,396.92574093082203
113500,-1302652.548513453,325.65271046979217
114000,-1302678.9881163337,492.8990632667677
114500,-1302654.2164212726,284.83343215827813
115000,-1302620.0807573744,343.67835634858614
115500,-1302646.284592016,476.06262285427806
116000,-1302649.2855324196,528.6547243024725
116500,-1302660.6986812502,568.4635489695813
117000,-1302652.9951174182,409.03586264429595
117500,-1302638.4611026146,432.8912933223043
118000,-1302660.08304796,405.29727300260186
118500,-1302644.8207060646,343.3006260639016
119000,-1302655.1331567136,457.0126334995612
119500,-1302609.2699013976,364.0950591550398
120000,-1302642.0449121825,371.2211101000501
120500,-1302620.1267532492,383.64827388298016
121000,-1302666.559234996,463.4184931022725
121500,-1302648.9575417668,437.3034121022437
122000,-1302662.1412536923,329.26057686570306
122500,-1302662.4696099067,392.4250444868627
123000,-1302679.413275088,339.5659792933185
123500,-1302667.5235241714,296.1123203333579
124000,-1302651.9899658668,365.9233867635183
124500,-1302654.1409027115,290.0256972597885
125000,-1302659.0581855988,283.7011718008415
125500,-1302676.2275313877,345.4127796527762
126000,-1302662.3311217776,434.9964867836095
126500,-1302644.7923633426,490.64622693300004
127000,-1302655.5894145255,410.4672550274773
127500,-1302650.8803671845,385.8363543644357
128000,-1302649.7099764834,374.5861061814464
128500,-1302622.704599128,388.2194777064836
129000,-1302667.4632659897,408.3964397726179
129500,-1302660.9979969936,477.9705741573778
130000,-1302685.1854299784,518.127729497784
130500,-1302652.1252933966,489.64411909690295
131000,-1302659.5325628142,463.93482636901535
131500,-1302644.9715422192,460.47024859837455
132000,-1302646.3332338901,455.3701230929503
132500,-1302642.9542481154,518.9109053239098
133000,-1302606.1779411312,397.690860176679
133500,-1302635.0631249615,398.9762340371288
134000,-1302619.5859246522,430.23659665098813
134500,-1302651.0956778992,474.61535461080695
135000,-1302647.8075605116,385.67424486054193
135500,-1302669.3080083607,391.81943465071816
136000,-1302616.8840666541,413.31380342667234
136500,-1302639.239295858,502.4428550119677
137000,-1302643.2049902354,410.7824478268734
137500,-1302645.1584579293,322.4976442259914
138000,-1302643.6400689778,303.88377726315633
138500,-1302664.7933936338,493.8363375860673
139000,-1302663.0009241183,429.6049303201608
139500,-1302679.0946088962,539.2319070445466
140000,-1302619.12052192,505.4222212757654
140500,-1302636.4383355954,508.27814426205543
141000,-1302645.8403975263,496.3459778746357
141500,-1302674.9945374886,448.95606430846647
142000,-1302645.8312230576,467.17349331635523
142500,-1302626.888566333,445.9973945633994
143000,-1302643.2228580217,408.45135700542784
143500,-1302616.2926846754,427.3796287191169
144000,-1302620.3138722635,533.7851733122751
144500,-1302618.809604678,427.51055498954116
145000,-1302622.8700891056,482.8418475572331
145500,-1302633.4309875586,551.4343699685782
