Step Range,Steps,Time (seconds),Time per Step (seconds)
166000-166500,500,14.9696,0.029939
166500-167000,500,15.7178,0.031436
167000-167500,500,15.2775,0.030555
167500-168000,500,16.2695,0.032539
168000-168500,500,15.1145,0.030229
168500-169000,500,15.0871,0.030174
169000-169500,500,15.8730,0.031746
169500-170000,500,16.1566,0.032313
170000-170500,500,15.3147,0.030629
170500-171000,500,15.6165,0.031233
171000-171500,500,14.9765,0.029953
171500-172000,500,15.3411,0.030682
172000-172500,500,14.8880,0.029776
172500-173000,500,15.0617,0.030123
173000-173500,500,14.9824,0.029965
173500-174000,500,15.2912,0.030582
174000-174500,500,15.1452,0.030290
174500-175000,500,14.5026,0.029005
175000-175500,500,14.5804,0.029161
175500-176000,500,14.5122,0.029024
176000-176500,500,14.9802,0.029960
176500-177000,500,14.4250,0.028850
177000-177500,500,14.3715,0.028743
177500-178000,500,14.4644,0.028929
178000-178500,500,15.7399,0.031480
178500-179000,500,16.2264,0.032453
179000-179500,500,16.0352,0.032070
179500-180000,500,15.6082,0.031216
180000-180500,500,15.5520,0.031104
180500-181000,500,15.1732,0.030346
181000-181500,500,15.6524,0.031305
181500-182000,500,15.7020,0.031404
182000-182500,500,15.7606,0.031521
182500-183000,500,16.1609,0.032322
183000-183500,500,14.4380,0.028876
183500-184000,500,15.4403,0.030881
184000-184500,500,15.3747,0.030749
184500-185000,500,15.1840,0.030368
185000-185500,500,15.7756,0.031551
185500-186000,500,15.5414,0.031083
186000-186500,500,14.5281,0.029056
186500-187000,500,15.7735,0.031547
187000-187500,500,15.4006,0.030801
187500-188000,500,15.5702,0.031140
188000-188500,500,14.9702,0.029940
188500-189000,500,14.3471,0.028694
189000-189500,500,14.7290,0.029458
189500-190000,500,15.8346,0.031669
190000-190500,500,15.0492,0.030098
190500-191000,500,14.6882,0.029376
191000-191500,500,14.4726,0.028945
191500-192000,500,14.3866,0.028773
192000-192500,500,15.0212,0.030042
192500-193000,500,14.5525,0.029105
193000-193500,500,15.3375,0.030675
193500-194000,500,14.5936,0.029187
194000-194500,500,15.6900,0.031380
194500-195000,500,15.3731,0.030746
195000-195500,500,15.1595,0.030319
195500-196000,500,14.7331,0.029466
196000-196500,500,14.8669,0.029734
196500-197000,500,15.2057,0.030411
197000-197500,500,15.3307,0.030661
197500-198000,500,15.0916,0.030183
198000-198500,500,15.2222,0.030444
198500-199000,500,14.7409,0.029482
199000-199500,500,14.6077,0.029215
199500-200000,500,15.8686,0.031737
200000-200500,500,15.8981,0.031796
200500-201000,500,15.5733,0.031147
201000-201500,500,14.6483,0.029297
201500-202000,500,16.2437,0.032487
202000-202500,500,15.5918,0.031184
202500-203000,500,14.9002,0.029800
203000-203500,500,16.1088,0.032218
203500-204000,500,14.8312,0.029662
204000-204500,500,14.9126,0.029825
204500-205000,500,14.7401,0.029480
205000-205500,500,14.9371,0.029874
205500-206000,500,14.8614,0.029723
206000-206500,500,15.5483,0.031097
206500-207000,500,14.9143,0.029829
207000-207500,500,15.1366,0.030273
207500-208000,500,14.5971,0.029194
208000-208500,500,14.6818,0.029364
208500-209000,500,15.9137,0.031827
209000-209500,500,15.2383,0.030477
209500-210000,500,15.0513,0.030103
210000-210500,500,15.1330,0.030266
210500-211000,500,15.6719,0.031344
211000-211500,500,15.2911,0.030582
211500-212000,500,15.4306,0.030861
212000-212500,500,15.7527,0.031505
212500-213000,500,15.0244,0.030049
213000-213500,500,14.5457,0.029091
213500-214000,500,14.6858,0.029372
214000-214500,500,14.9373,0.029875
214500-215000,500,15.1281,0.030256
215000-215500,500,15.3677,0.030735
215500-216000,500,15.3368,0.030674
216000-216500,500,15.2754,0.030551
216500-217000,500,15.1400,0.030280
217000-217500,500,14.6549,0.029310
217500-218000,500,15.1856,0.030371
218000-218500,500,15.1710,0.030342
218500-219000,500,15.2598,0.030520
219000-219500,500,14.8549,0.029710
219500-220000,500,15.7930,0.031586
220000-220500,500,14.9562,0.029912
220500-221000,500,16.0889,0.032178
221000-221500,500,14.8023,0.029605
221500-222000,500,15.5679,0.031136
222000-222500,500,15.2398,0.030480
222500-223000,500,14.3823,0.028765
223000-223500,500,15.1806,0.030361
223500-224000,500,15.5561,0.031112
224000-224500,500,15.7701,0.031540
224500-225000,500,15.0670,0.030134
225000-225500,500,14.8618,0.029724
225500-226000,500,14.9925,0.029985
226000-226500,500,15.5060,0.031012
226500-227000,500,15.7547,0.031509
227000-227500,500,15.9651,0.031930
227500-228000,500,14.7810,0.029562
228000-228500,500,15.2287,0.030457
228500-229000,500,16.1872,0.032374
229000-229500,500,15.1472,0.030294
229500-230000,500,16.2037,0.032407
230000-230500,500,14.5189,0.029038
230500-231000,500,15.5065,0.031013
231000-231500,500,14.9247,0.029849
231500-232000,500,14.1566,0.028313
232000-232500,500,14.3901,0.028780
232500-233000,500,15.6038,0.031208
233000-233500,500,16.0196,0.032039
233500-234000,500,14.8981,0.029796
234000-234500,500,15.1674,0.030335
234500-235000,500,15.1021,0.030204
235000-235500,500,15.2643,0.030529
235500-236000,500,15.6965,0.031393
236000-236500,500,15.2016,0.030403
236500-237000,500,13.9868,0.027974
237000-237500,500,14.7116,0.029423
237500-238000,500,15.7840,0.031568
238000-238500,500,15.9998,0.032000
238500-239000,500,15.2700,0.030540
239000-239500,500,14.7292,0.029458
239500-240000,500,15.4144,0.030829
240000-240500,500,14.2320,0.028464
240500-241000,500,16.2912,0.032582
241000-241500,500,15.2969,0.030594
241500-242000,500,14.9222,0.029844
242000-242500,500,15.6983,0.031397
242500-243000,500,15.5490,0.031098
243000-243500,500,15.8172,0.031634
243500-244000,500,15.2858,0.030572
244000-244500,500,15.5406,0.031081
244500-245000,500,14.9958,0.029992
245000-245500,500,14.6728,0.029346
245500-246000,500,14.9831,0.029966
246000-246500,500,15.1566,0.030313
246500-247000,500,14.8824,0.029765
247000-247500,500,15.7697,0.031539
247500-248000,500,15.5184,0.031037
248000-248500,500,15.7885,0.031577
248500-249000,500,15.1766,0.030353
249000-249500,500,14.4893,0.028979
249500-250000,500,15.4325,0.030865
250000-250500,500,15.1991,0.030398
250500-251000,500,16.3492,0.032698
251000-251500,500,14.9108,0.029822
251500-252000,500,14.6292,0.029258
252000-252500,500,15.2437,0.030487
252500-253000,500,15.2527,0.030505
253000-253500,500,14.9621,0.029924
253500-254000,500,16.0115,0.032023
254000-254500,500,15.1377,0.030275
254500-255000,500,15.8669,0.031734
255000-255500,500,16.3857,0.032771
255500-256000,500,14.6585,0.029317
256000-256500,500,14.5616,0.029123
256500-257000,500,15.5438,0.031088
257000-257500,500,14.8472,0.029694
257500-258000,500,15.3782,0.030756
258000-258500,500,15.3379,0.030676
258500-259000,500,13.8854,0.027771
259000-259500,500,15.5779,0.031156
259500-260000,500,14.6726,0.029345
260000-260500,500,13.9036,0.027807
260500-261000,500,14.6125,0.029225
261000-261500,500,15.8789,0.031758
261500-262000,500,14.8594,0.029719
262000-262500,500,15.9200,0.031840
262500-263000,500,15.5128,0.031026
263000-263500,500,15.6476,0.031295
263500-264000,500,14.5363,0.029073
264000-264500,500,16.2325,0.032465
264500-265000,500,14.7867,0.029573
265000-265500,500,15.2226,0.030445
265500-266000,500,15.2993,0.030599
